osmid	x	y	primary
1905522985	-21.8968671	64.1102759	False
1906598576	-21.9127244	64.1428399	False
1907970277	-21.8940746	64.1137154	False
1907970287	-21.9060161	64.1124583	False
1907970353	-21.9030389	64.1136816	False
1908050878	-21.906114	64.1122044	False
1908079095	-21.9110709	64.1137546	False
1908085063	-21.889053	64.0950775	True
1908085068	-21.8890712	64.0951471	True
1951429709	-21.861122	64.1123519	False
1951479579	-21.8626196	64.1101592	False
1951555150	-21.8596378	64.1101694	False
1951592741	-21.8554412	64.1095851	False
1952357019	-21.6939746	64.1680532	False
1952357022	-21.7100629	64.168258	False
1952357023	-21.6975828	64.1685825	False
1952357024	-21.6941519	64.1677795	False
1952357026	-21.7005435	64.1692799	False
1952357028	-21.7012196	64.1695834	False
1952357036	-21.7084572	64.1697409	False
1952357037	-21.7108054	64.1694466	False
1952357038	-21.7130218	64.169181	False
1952359006	-21.7124693	64.1720792	False
1952359014	-21.7156998	64.1716901	False
1952359015	-21.7153875	64.1710789	False
1952704482	-21.861812	64.1085977	False
1952704496	-21.8609557	64.1088888	False
1952727892	-21.8570427	64.1078293	False
1952728061	-21.8576646	64.1080104	False
1952728084	-21.8592123	64.1078183	False
1952729961	-21.8891821	64.1291126	False
1954984012	-21.8158883	64.0822871	False
1954984954	-21.8238178	64.0842542	False
1954984963	-21.8177059	64.0823898	False
1954984995	-21.8206683	64.0835867	False
1962536957	-21.854151	64.1074576	False
1962537052	-21.855015	64.1077568	False
1962731853	-21.6670288	64.1587927	False
1962731854	-21.661191	64.1567047	False
1962731855	-21.6633466	64.1563625	False
1962731861	-21.6642202	64.1573455	False
1962731862	-21.6657391	64.1572883	False
1962731863	-21.6648996	64.1564734	False
1962731865	-21.6653975	64.1571542	False
1962731866	-21.665935	64.1568732	False
1962731872	-21.6668692	64.1574231	False
1962731885	-21.6685716	64.1587602	False
1962731887	-21.667842	64.1590945	False
1962731890	-21.6699267	64.1591074	False
1962731891	-21.6623411	64.1569929	False
1962731893	-21.6617399	64.156153	False
1962731894	-21.6629508	64.1566074	False
1962731896	-21.6610124	64.1551336	False
1962731900	-21.6634416	64.1555865	True
1962731912	-21.6643771	64.1567534	False
1962731938	-21.6638609	64.150791	True
1962731971	-21.6606102	64.1570501	False
1962731973	-21.6625431	64.1568596	False
1962731985	-21.6646139	64.1579456	False
1962731987	-21.6636695	64.1576108	False
1962737745	-21.6609929	64.1560683	False
1962737746	-21.6568018	64.1565136	False
1962737749	-21.6564989	64.1569428	False
1962737753	-21.6584491	64.157278	False
1962737773	-21.6587422	64.1563517	False
1962737780	-21.6726718	64.1606248	False
1962737788	-21.6672782	64.1603687	False
1962737804	-21.660525	64.1544841	False
1962737805	-21.6589859	64.155214	False
1962790641	-21.6714322	64.1621181	False
1963018249	-21.7063648	64.1655678	False
1963034520	-21.7214124	64.1663777	False
1963034526	-21.7200352	64.1663057	False
1963034541	-21.7223967	64.1668078	False
1963034577	-21.7197872	64.1670842	False
1963034593	-21.7175972	64.1666139	False
1963034603	-21.719101	64.1636084	False
1963034606	-21.7176383	64.1665113	False
1963034609	-21.7159696	64.1667079	False
1963034623	-21.7128548	64.1654806	False
1963034668	-21.7182292	64.1650152	False
1963034669	-21.7151597	64.1668101	False
1963034672	-21.7154659	64.1678994	False
1963034674	-21.7176786	64.1694944	False
1963034679	-21.7168542	64.1696089	False
1963034684	-21.7188731	64.1662133	False
1963034695	-21.720546	64.1639809	False
1963034698	-21.7186899	64.1666918	False
1963034705	-21.7191798	64.1622047	False
1963059037	-21.67949	64.1676824	False
1963059042	-21.6778233	64.1709055	False
1963059090	-21.6765774	64.169819	False
1963059094	-21.6649577	64.1672985	False
1963059098	-21.6733986	64.1731546	False
1963059109	-21.674038	64.1699812	False
1963059137	-21.6740915	64.1713453	False
1963059140	-21.6888086	64.1649229	False
1963059153	-21.6848498	64.1639539	False
1963059156	-21.6777443	64.1702578	False
1963059164	-21.6639752	64.1685281	False
1963059179	-21.6773188	64.1707554	False
1963059184	-21.6703908	64.1670622	False
1963059198	-21.6671735	64.1665583	False
1963059211	-21.6723871	64.1665238	False
1963059236	-21.6696503	64.169209	False
1963059253	-21.6694889	64.1656028	False
1963059262	-21.6621373	64.1682293	False
1963059284	-21.6845801	64.1645766	False
1963059292	-21.6705448	64.1657651	False
1963059295	-21.6877247	64.1660782	False
1963059308	-21.6641497	64.1683109	False
1963059326	-21.6623294	64.1680102	False
1963059366	-21.6827318	64.1631133	False
1963059368	-21.6859795	64.1643982	False
1963059374	-21.6865864	64.1665486	False
1963059375	-21.6865544	64.1656072	False
1963059377	-21.6852101	64.1647724	False
1963059385	-21.6679845	64.1699151	False
1963059403	-21.6687195	64.1679011	False
1963059407	-21.6721067	64.1667079	False
1963059415	-21.676103	64.1703907	False
1963059416	-21.6801361	64.167201	False
1963059448	-21.6690873	64.1667922	False
1963059472	-21.6761757	64.169049	False
1963059478	-21.6840202	64.1643578	False
1963059490	-21.6836672	64.1648382	False
1963059494	-21.6745069	64.1707053	False
1963059499	-21.6829494	64.165523	False
